TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
store_staff	user_id	store_staff_ibfk_1	users	user_id
store_staff	store_id	store_staff_ibfk_2	stores	store_id
store_staff	operator_id	store_staff_ibfk_3	users	user_id
stores	assigned_to	fk_store_assigned_to	users	user_id
stores	merchant_id	stores_ibfk_1	merchants	merchant_id
system_dictionary_history	system_dictionary_id	fk_dict_history_dict	system_dictionaries	system_dictionary_id
trade_disputes	user_id	fk_trade_disputes_user_id	users	user_id
user_ad_tags	user_id	user_ad_tags_ibfk_1	users	user_id
user_addresses	user_id	user_addresses_ibfk_1	users	user_id
user_behavior_tracks	user_id	user_behavior_tracks_ibfk_1	users	user_id
user_hierarchy	deactivated_by	fk_user_hierarchy_deactivator	users	user_id
user_hierarchy	role_id	fk_user_hierarchy_role	roles	role_id
user_hierarchy	store_id	fk_user_hierarchy_store	stores	store_id
user_hierarchy	superior_user_id	fk_user_hierarchy_superior	users	user_id
user_hierarchy	user_id	fk_user_hierarchy_user	users	user_id
user_owned_decorations	user_id	user_owned_decorations_ibfk_1	users	user_id
user_owned_decorations	decoration_sku_id	user_owned_decorations_ibfk_2	decoration_sku	decoration_sku_id
user_premium_status	user_id	fk_ups_user_id	users	user_id
user_ratio_overrides	user_id	user_ratio_overrides_ibfk_1	users	user_id
user_ratio_overrides	created_by	user_ratio_overrides_ibfk_2	users	user_id
user_risk_profiles	user_id	user_risk_profiles_ibfk_1	users	user_id
user_risk_profiles	frozen_by	user_risk_profiles_ibfk_2	users	user_id
user_roles	role_id	fk_user_roles_role_id	roles	role_id
user_roles	user_id	fk_user_roles_user_id	users	user_id
