TABLE_NAME	INDEX_NAME	NON_UNIQUE	SEQ_IN_INDEX	COLUMN_NAME	INDEX_TYPE	SUB_PART	NULLABLE
asset_transactions	idx_asset_code_time	1	1	asset_code	BTREE	NULL	
asset_transactions	idx_asset_code_time	1	2	created_at	BTREE	NULL	
asset_transactions	idx_asset_test_data	1	1	is_test_data	BTREE	NULL	
asset_transactions	idx_asset_test_data	1	2	business_type	BTREE	NULL	
asset_transactions	idx_asset_tx_counterpart	1	1	counterpart_account_id	BTREE	NULL	YES
asset_transactions	idx_business_type_time	1	1	business_type	BTREE	NULL	
asset_transactions	idx_business_type_time	1	2	created_at	BTREE	NULL	
asset_transactions	idx_frozen_change	1	1	account_id	BTREE	NULL	
asset_transactions	idx_frozen_change	1	2	asset_code	BTREE	NULL	
asset_transactions	idx_frozen_change	1	3	frozen_amount_change	BTREE	NULL	
asset_transactions	idx_lottery_session_id	1	1	lottery_session_id	BTREE	NULL	YES
asset_transactions	PRIMARY	0	1	asset_transaction_id	BTREE	NULL	
asset_transactions	uk_asset_transactions_transaction_no	0	1	transaction_no	BTREE	NULL	
asset_transactions	uk_idempotency_key	0	1	idempotency_key	BTREE	NULL	
attribute_options	idx_attr_options_attr_sort	1	1	attribute_id	BTREE	NULL	
attribute_options	idx_attr_options_attr_sort	1	2	sort_order	BTREE	NULL	
attribute_options	PRIMARY	0	1	option_id	BTREE	NULL	
attributes	attribute_code	0	1	attribute_code	BTREE	NULL	
attributes	idx_attributes_enabled_sort	1	1	is_enabled	BTREE	NULL	
attributes	idx_attributes_enabled_sort	1	2	sort_order	BTREE	NULL	
attributes	idx_attributes_sale_attr	1	1	is_sale_attr	BTREE	NULL	
attributes	PRIMARY	0	1	attribute_id	BTREE	NULL	
authentication_sessions	idx_user_device	1	1	user_type	BTREE	NULL	
authentication_sessions	idx_user_device	1	2	user_id	BTREE	NULL	
authentication_sessions	idx_user_device	1	3	device_id	BTREE	NULL	YES
authentication_sessions	idx_user_device	1	4	is_active	BTREE	NULL	YES
authentication_sessions	idx_user_sessions_expires	1	1	expires_at	BTREE	NULL	
authentication_sessions	idx_user_sessions_expires	1	2	is_active	BTREE	NULL	YES
authentication_sessions	idx_user_sessions_platform	1	1	user_type	BTREE	NULL	
authentication_sessions	idx_user_sessions_platform	1	2	user_id	BTREE	NULL	
authentication_sessions	idx_user_sessions_platform	1	3	login_platform	BTREE	NULL	
authentication_sessions	idx_user_sessions_platform	1	4	is_active	BTREE	NULL	YES
authentication_sessions	idx_user_sessions_user_created	1	1	user_id	BTREE	NULL	
authentication_sessions	idx_user_sessions_user_created	1	2	created_at	BTREE	NULL	
authentication_sessions	PRIMARY	0	1	authentication_session_id	BTREE	NULL	
authentication_sessions	session_token	0	1	session_token	BTREE	NULL	
authentication_sessions	user_sessions_last_activity	1	1	last_activity	BTREE	NULL	
batch_operation_logs	idempotency_key	0	1	idempotency_key	BTREE	NULL	
batch_operation_logs	idx_batch_ops_created_at	1	1	created_at	BTREE	NULL	
batch_operation_logs	idx_batch_ops_idempotency_key	0	1	idempotency_key	BTREE	NULL	
batch_operation_logs	idx_batch_ops_operator_created	1	1	operator_id	BTREE	NULL	
batch_operation_logs	idx_batch_ops_operator_created	1	2	created_at	BTREE	NULL	
batch_operation_logs	idx_batch_ops_status	1	1	status	BTREE	NULL	
batch_operation_logs	idx_batch_ops_type_status	1	1	operation_type	BTREE	NULL	
batch_operation_logs	idx_batch_ops_type_status	1	2	status	BTREE	NULL	
batch_operation_logs	PRIMARY	0	1	batch_operation_log_id	BTREE	NULL	
bid_products	created_by	1	1	created_by	BTREE	NULL	
bid_products	idx_bid_products_exchange_item	1	1	exchange_item_id	BTREE	NULL	
bid_products	idx_bid_products_item_batch	1	1	exchange_item_id	BTREE	NULL	
bid_products	idx_bid_products_item_batch	1	2	batch_no	BTREE	NULL	YES
bid_products	idx_bid_products_item_status	1	1	exchange_item_id	BTREE	NULL	
bid_products	idx_bid_products_item_status	1	2	status	BTREE	NULL	
bid_products	idx_bid_products_status_end	1	1	status	BTREE	NULL	
bid_products	idx_bid_products_status_end	1	2	end_time	BTREE	NULL	
bid_products	idx_bid_products_status_start	1	1	status	BTREE	NULL	
bid_products	idx_bid_products_status_start	1	2	start_time	BTREE	NULL	
bid_products	PRIMARY	0	1	bid_product_id	BTREE	NULL	
bid_products	winner_user_id	1	1	winner_user_id	BTREE	NULL	YES
bid_records	idempotency_key	0	1	idempotency_key	BTREE	NULL	
bid_records	idx_bid_records_product_amount	1	1	bid_product_id	BTREE	NULL	
bid_records	idx_bid_records_product_amount	1	2	bid_amount	BTREE	NULL	
bid_records	idx_bid_records_user_bid	1	1	user_id	BTREE	NULL	
bid_records	idx_bid_records_user_bid	1	2	bid_product_id	BTREE	NULL	
bid_records	PRIMARY	0	1	bid_record_id	BTREE	NULL	
categories	category_code	0	1	category_code	BTREE	NULL	
categories	icon_media_id	1	1	icon_media_id	BTREE	NULL	YES
categories	idx_categories_enabled_level	1	1	is_enabled	BTREE	NULL	
categories	idx_categories_enabled_level	1	2	level	BTREE	NULL	
categories	idx_categories_level_sort	1	1	level	BTREE	NULL	
categories	idx_categories_level_sort	1	2	sort_order	BTREE	NULL	
categories	idx_categories_parent	1	1	parent_category_id	BTREE	NULL	YES
categories	PRIMARY	0	1	category_id	BTREE	NULL	
category_attributes	attribute_id	1	1	attribute_id	BTREE	NULL	
category_attributes	PRIMARY	0	1	id	BTREE	NULL	
category_attributes	uk_category_attribute	0	1	category_id	BTREE	NULL	
category_attributes	uk_category_attribute	0	2	attribute_id	BTREE	NULL	
chat_messages	idx_chat_messages_created_at	1	1	created_at	BTREE	NULL	
chat_messages	idx_chat_messages_sender_id	1	1	sender_id	BTREE	NULL	YES
chat_messages	idx_chat_messages_session_id	1	1	customer_service_session_id	BTREE	NULL	
chat_messages	idx_chat_messages_source_type	1	1	message_source	BTREE	NULL	
chat_messages	idx_chat_messages_source_type	1	2	sender_type	BTREE	NULL	
chat_messages	idx_chat_messages_temp_message_id	1	1	temp_message_id	BTREE	NULL	YES
chat_messages	new_message_id	0	1	chat_message_id	BTREE	NULL	
chat_messages	PRIMARY	0	1	chat_message_id	BTREE	NULL	
consumption_records	idx_anomaly_score	1	1	anomaly_score	BTREE	NULL	
consumption_records	idx_consumption_final_status	1	1	final_status	BTREE	NULL	
consumption_records	idx_consumption_final_status	1	2	settled_at	BTREE	NULL	YES
consumption_records	idx_consumption_is_deleted	1	1	is_deleted	BTREE	NULL	
consumption_records	idx_consumption_records_reward_tx_id	1	1	reward_transaction_id	BTREE	NULL	YES
consumption_records	idx_consumption_store_merchant	1	1	store_id	BTREE	NULL	
consumption_records	idx_consumption_store_merchant	1	2	merchant_id	BTREE	NULL	YES
consumption_records	idx_consumption_store_merchant	1	3	created_at	BTREE	NULL	
consumption_records	idx_consumption_store_status	1	1	store_id	BTREE	NULL	
consumption_records	idx_consumption_store_status	1	2	status	BTREE	NULL	
consumption_records	idx_consumption_store_status	1	3	created_at	BTREE	NULL	
consumption_records	idx_cr_status_created_at	1	1	status	BTREE	NULL	
consumption_records	idx_cr_status_created_at	1	2	created_at	BTREE	NULL	
consumption_records	idx_merchant_time	1	1	merchant_id	BTREE	NULL	YES
consumption_records	idx_merchant_time	1	2	created_at	BTREE	NULL	
consumption_records	idx_qr_code	1	1	qr_code	BTREE	NULL	
consumption_records	idx_reviewed	1	1	reviewed_by	BTREE	NULL	YES
consumption_records	idx_reviewed	1	2	reviewed_at	BTREE	NULL	YES
consumption_records	idx_status_anomaly	1	1	status	BTREE	NULL	
consumption_records	idx_status_anomaly	1	2	anomaly_score	BTREE	NULL	
consumption_records	idx_status_created	1	1	status	BTREE	NULL	
consumption_records	idx_status_created	1	2	created_at	BTREE	NULL	
consumption_records	idx_user_status	1	1	user_id	BTREE	NULL	
consumption_records	idx_user_status	1	2	status	BTREE	NULL	
consumption_records	idx_user_status	1	3	created_at	BTREE	NULL	
consumption_records	PRIMARY	0	1	consumption_record_id	BTREE	NULL	
consumption_records	uk_consumption_records_business_id	0	1	business_id	BTREE	NULL	
consumption_records	uk_consumption_records_idempotency_key	0	1	idempotency_key	BTREE	NULL	
consumption_records	uk_consumption_records_order_no	0	1	order_no	BTREE	NULL	
content_review_records	idx_audit_records_auditor	1	1	auditor_id	BTREE	NULL	YES
content_review_records	idx_audit_records_created	1	1	created_at	BTREE	NULL	
content_review_records	idx_audit_records_priority_time	1	1	priority	BTREE	NULL	
content_review_records	idx_audit_records_priority_time	1	2	submitted_at	BTREE	NULL	
content_review_records	idx_audit_records_status	1	1	audit_status	BTREE	NULL	
content_review_records	PRIMARY	0	1	content_review_record_id	BTREE	NULL	
content_review_records	uk_content_review_auditable	0	1	auditable_type	BTREE	NULL	
content_review_records	uk_content_review_auditable	0	2	auditable_id	BTREE	NULL	
customer_service_agents	idx_cs_agents_auto_assign	1	1	is_auto_assign_enabled	BTREE	NULL	
customer_service_agents	idx_cs_agents_auto_assign	1	2	status	BTREE	NULL	
customer_service_agents	idx_cs_agents_status_priority	1	1	status	BTREE	NULL	
customer_service_agents	idx_cs_agents_status_priority	1	2	priority	BTREE	NULL	
customer_service_agents	PRIMARY	0	1	customer_service_agent_id	BTREE	NULL	
customer_service_agents	user_id	0	1	user_id	BTREE	NULL	
customer_service_issues	created_by	1	1	created_by	BTREE	NULL	
customer_service_issues	idx_cs_issues_assigned_to	1	1	assigned_to	BTREE	NULL	YES
customer_service_issues	idx_cs_issues_created_at	1	1	created_at	BTREE	NULL	
customer_service_issues	idx_cs_issues_dispute_id	1	1	dispute_id	BTREE	NULL	YES
customer_service_issues	idx_cs_issues_feedback_id	1	1	feedback_id	BTREE	NULL	YES
customer_service_issues	idx_cs_issues_status	1	1	status	BTREE	NULL	YES
customer_service_issues	idx_cs_issues_type	1	1	issue_type	BTREE	NULL	
customer_service_issues	idx_cs_issues_user_id	1	1	user_id	BTREE	NULL	
customer_service_issues	idx_issues_order_polymorphic	1	1	order_type	BTREE	NULL	YES
customer_service_issues	idx_issues_order_polymorphic	1	2	order_id	BTREE	NULL	YES
customer_service_issues	PRIMARY	0	1	issue_id	BTREE	NULL	
customer_service_issues	session_id	1	1	session_id	BTREE	NULL	YES
customer_service_notes	author_id	1	1	author_id	BTREE	NULL	
customer_service_notes	idx_cs_notes_issue_id	1	1	issue_id	BTREE	NULL	YES
customer_service_notes	idx_cs_notes_user_id	1	1	user_id	BTREE	NULL	
customer_service_notes	PRIMARY	0	1	note_id	BTREE	NULL	
customer_service_notes	session_id	1	1	session_id	BTREE	NULL	YES
customer_service_sessions	idx_closed_by	1	1	closed_by	BTREE	NULL	YES
customer_service_sessions	idx_cs_sessions_issue_id	1	1	issue_id	BTREE	NULL	YES
customer_service_sessions	idx_css_admin_status	1	1	admin_id	BTREE	NULL	YES
customer_service_sessions	idx_css_admin_status	1	2	status	BTREE	NULL	YES
customer_service_sessions	idx_css_status_created_at	1	1	status	BTREE	NULL	YES
customer_service_sessions	idx_css_status_created_at	1	2	created_at	BTREE	NULL	
customer_service_sessions	idx_customer_sessions_admin_id	1	1	admin_id	BTREE	NULL	YES
customer_service_sessions	idx_customer_sessions_created_at	1	1	created_at	BTREE	NULL	
customer_service_sessions	idx_customer_sessions_status	1	1	status	BTREE	NULL	YES
customer_service_sessions	idx_customer_sessions_user_id	1	1	user_id	BTREE	NULL	YES
customer_service_sessions	idx_user_active_session	0	1	user_id	BTREE	NULL	YES
customer_service_sessions	idx_user_active_session	0	2	is_active_session	BTREE	NULL	YES
customer_service_sessions	PRIMARY	0	1	customer_service_session_id	BTREE	NULL	
customer_service_user_assignments	assigned_by	1	1	assigned_by	BTREE	NULL	
customer_service_user_assignments	idx_cs_user_assign_agent	1	1	agent_id	BTREE	NULL	
customer_service_user_assignments	idx_cs_user_assign_agent	1	2	status	BTREE	NULL	
customer_service_user_assignments	idx_cs_user_assign_status	1	1	status	BTREE	NULL	
customer_service_user_assignments	PRIMARY	0	1	customer_service_user_assignment_id	BTREE	NULL	
customer_service_user_assignments	uk_cs_user_assign_active	0	1	user_id	BTREE	NULL	
customer_service_user_assignments	uk_cs_user_assign_active	0	2	status	BTREE	NULL	
deadlock_test_1781393835778	account_id	0	1	account_id	BTREE	NULL	
deadlock_test_1781393835778	idx_account	1	1	account_id	BTREE	NULL	
deadlock_test_1781393835778	PRIMARY	0	1	id	BTREE	NULL	
decoration_season	PRIMARY	0	1	decoration_season_id	BTREE	NULL	
decoration_season	uk_decoration_season_code	0	1	season_code	BTREE	NULL	
decoration_sku	idx_decoration_sku_season	1	1	decoration_season_id	BTREE	NULL	YES
decoration_sku	idx_decoration_sku_status_sort	1	1	status	BTREE	NULL	
decoration_sku	idx_decoration_sku_status_sort	1	2	sort_order	BTREE	NULL	
decoration_sku	PRIMARY	0	1	decoration_sku_id	BTREE	NULL	
decoration_sku	uk_decoration_sku_code	0	1	decoration_code	BTREE	NULL	
diy_materials	idx_diy_materials_category	1	1	category_id	BTREE	NULL	YES
diy_materials	idx_diy_materials_diameter	1	1	diameter	BTREE	NULL	
diy_materials	idx_diy_materials_enabled_sort	1	1	is_enabled	BTREE	NULL	
diy_materials	idx_diy_materials_enabled_sort	1	2	sort_order	BTREE	NULL	
diy_materials	idx_diy_materials_group	1	1	group_code	BTREE	NULL	
diy_materials	material_code	0	1	material_code	BTREE	NULL	
diy_materials	PRIMARY	0	1	diy_material_id	BTREE	NULL	
diy_templates	diy_templates_base_image_media_id_foreign_idx	1	1	base_image_media_id	BTREE	NULL	YES
diy_templates	diy_templates_preview_media_id_foreign_idx	1	1	preview_media_id	BTREE	NULL	YES
diy_templates	idx_diy_templates_active_sort	1	1	sort_order	BTREE	NULL	
diy_templates	idx_diy_templates_category	1	1	category_id	BTREE	NULL	
diy_templates	idx_diy_templates_is_enabled	1	1	is_enabled	BTREE	NULL	
diy_templates	idx_diy_templates_status	1	1	status	BTREE	NULL	
diy_templates	PRIMARY	0	1	diy_template_id	BTREE	NULL	
