TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
bid_records	bid_records_ibfk_1	FOREIGN KEY	bid_product_id	bid_products	bid_product_id
bid_records	bid_records_ibfk_2	FOREIGN KEY	user_id	users	user_id
bid_records	idempotency_key	UNIQUE	idempotency_key	NULL	NULL
bid_records	PRIMARY	PRIMARY KEY	bid_record_id	NULL	NULL
categories	categories_ibfk_1	FOREIGN KEY	parent_category_id	categories	category_id
categories	categories_ibfk_2	FOREIGN KEY	icon_media_id	media_files	media_id
categories	category_code	UNIQUE	category_code	NULL	NULL
categories	PRIMARY	PRIMARY KEY	category_id	NULL	NULL
category_attributes	category_attributes_ibfk_1	FOREIGN KEY	category_id	categories	category_id
category_attributes	category_attributes_ibfk_2	FOREIGN KEY	attribute_id	attributes	attribute_id
category_attributes	PRIMARY	PRIMARY KEY	id	NULL	NULL
category_attributes	uk_category_attribute	UNIQUE	category_id	NULL	NULL
category_attributes	uk_category_attribute	UNIQUE	attribute_id	NULL	NULL
chat_messages	fk_chat_messages_sender_id	FOREIGN KEY	sender_id	users	user_id
chat_messages	fk_chat_messages_session	FOREIGN KEY	customer_service_session_id	customer_service_sessions	customer_service_session_id
chat_messages	new_message_id	UNIQUE	chat_message_id	NULL	NULL
chat_messages	PRIMARY	PRIMARY KEY	chat_message_id	NULL	NULL
consignment_orders	consignment_orders_ibfk_1	FOREIGN KEY	item_id	items	item_id
consignment_orders	consignment_orders_ibfk_2	FOREIGN KEY	consignor_account_id	accounts	account_id
consignment_orders	consignment_orders_ibfk_3	FOREIGN KEY	relist_item_id	exchange_items	exchange_item_id
consignment_orders	PRIMARY	PRIMARY KEY	consignment_id	NULL	NULL
consignment_orders	uk_consign_order_no	UNIQUE	order_no	NULL	NULL
consumption_bonus_rules	PRIMARY	PRIMARY KEY	consumption_bonus_rule_id	NULL	NULL
consumption_records	chk_approved_has_reward	CHECK	NULL	NULL	NULL
consumption_records	fk_consumption_records_merchant_id	FOREIGN KEY	merchant_id	users	user_id
consumption_records	fk_consumption_records_reviewed_by	FOREIGN KEY	reviewed_by	users	user_id
consumption_records	fk_consumption_records_user_id	FOREIGN KEY	user_id	users	user_id
consumption_records	fk_consumption_store	FOREIGN KEY	store_id	stores	store_id
consumption_records	PRIMARY	PRIMARY KEY	consumption_record_id	NULL	NULL
consumption_records	uk_consumption_records_business_id	UNIQUE	business_id	NULL	NULL
consumption_records	uk_consumption_records_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
consumption_records	uk_consumption_records_order_no	UNIQUE	order_no	NULL	NULL
content_review_records	content_review_records_ibfk_1	FOREIGN KEY	auditor_id	users	user_id
content_review_records	PRIMARY	PRIMARY KEY	content_review_record_id	NULL	NULL
content_review_records	uk_content_review_auditable	UNIQUE	auditable_type	NULL	NULL
content_review_records	uk_content_review_auditable	UNIQUE	auditable_id	NULL	NULL
customer_service_agents	customer_service_agents_ibfk_1	FOREIGN KEY	user_id	users	user_id
customer_service_agents	PRIMARY	PRIMARY KEY	customer_service_agent_id	NULL	NULL
customer_service_agents	user_id	UNIQUE	user_id	NULL	NULL
customer_service_issues	customer_service_issues_ibfk_1	FOREIGN KEY	user_id	users	user_id
customer_service_issues	customer_service_issues_ibfk_2	FOREIGN KEY	created_by	users	user_id
customer_service_issues	customer_service_issues_ibfk_3	FOREIGN KEY	assigned_to	users	user_id
customer_service_issues	customer_service_issues_ibfk_4	FOREIGN KEY	session_id	customer_service_sessions	customer_service_session_id
customer_service_issues	PRIMARY	PRIMARY KEY	issue_id	NULL	NULL
customer_service_notes	customer_service_notes_ibfk_1	FOREIGN KEY	user_id	users	user_id
customer_service_notes	customer_service_notes_ibfk_2	FOREIGN KEY	issue_id	customer_service_issues	issue_id
customer_service_notes	customer_service_notes_ibfk_3	FOREIGN KEY	session_id	customer_service_sessions	customer_service_session_id
customer_service_notes	customer_service_notes_ibfk_4	FOREIGN KEY	author_id	users	user_id
customer_service_notes	PRIMARY	PRIMARY KEY	note_id	NULL	NULL
customer_service_sessions	customer_service_sessions_issue_id_foreign_idx	FOREIGN KEY	issue_id	customer_service_issues	issue_id
customer_service_sessions	fk_customer_sessions_admin_id	FOREIGN KEY	admin_id	users	user_id
customer_service_sessions	fk_customer_sessions_closed_by	FOREIGN KEY	closed_by	users	user_id
customer_service_sessions	fk_customer_sessions_user_id	FOREIGN KEY	user_id	users	user_id
customer_service_sessions	idx_user_active_session	UNIQUE	user_id	NULL	NULL
customer_service_sessions	idx_user_active_session	UNIQUE	is_active_session	NULL	NULL
customer_service_sessions	PRIMARY	PRIMARY KEY	customer_service_session_id	NULL	NULL
customer_service_user_assignments	customer_service_user_assignments_ibfk_1	FOREIGN KEY	user_id	users	user_id
customer_service_user_assignments	customer_service_user_assignments_ibfk_2	FOREIGN KEY	agent_id	customer_service_agents	customer_service_agent_id
