TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	CREATE_TIME	UPDATE_TIME
lottery_campaign_quota_grants	InnoDB	0	16384	49152	1	2026-02-06 02:36:39	NULL
lottery_campaign_user_quota	InnoDB	0	16384	49152	1	2026-02-06 02:36:39	NULL
lottery_campaigns	InnoDB	1	16384	147456	50	2026-07-06 20:20:20	2026-07-15 21:27:35
lottery_daily_metrics	InnoDB	0	16384	65536	76	2026-02-01 15:58:14	2026-07-13 01:00:00
lottery_draw_decisions	InnoDB	1004	2637824	458752	10239	2026-02-06 02:36:39	2026-07-15 21:27:35
lottery_draw_quota_rules	InnoDB	15	16384	32768	18	2026-02-01 15:58:13	NULL
lottery_draws	InnoDB	1164	1589248	2932736	6229	2026-06-12 23:49:35	2026-07-15 21:27:35
lottery_hourly_metrics	InnoDB	19	16384	65536	246	2026-03-23 20:20:04	2026-07-15 21:27:35
lottery_presets	InnoDB	0	16384	114688	NULL	2026-05-26 04:25:49	2026-07-11 10:10:48
lottery_simulation_records	InnoDB	33	65536	98304	667	2026-02-21 20:20:04	2026-07-15 21:28:01
lottery_strategy_config	InnoDB	37	16384	49152	165	2026-02-21 00:42:35	NULL
lottery_tier_matrix_config	InnoDB	3	16384	32768	31	2026-07-11 07:48:21	NULL
lottery_tier_rules	InnoDB	9	16384	32768	16	2026-02-06 02:36:39	NULL
lottery_user_daily_draw_quota	InnoDB	14	16384	49152	531	2026-02-01 16:18:09	2026-07-15 21:27:35
lottery_user_experience_state	InnoDB	5	16384	65536	104	2026-02-15 20:20:06	2026-07-15 21:27:35
lottery_user_global_state	InnoDB	5	16384	81920	8	2026-02-02 07:56:50	2026-07-15 21:27:35
material_asset_types	InnoDB	16	16384	98304	1380	2026-06-05 20:20:07	2026-07-06 00:39:23
media_attachments	InnoDB	25	16384	32768	40	2026-03-17 06:41:24	NULL
media_files	InnoDB	54	65536	81920	195	2026-03-17 06:41:24	2026-07-15 21:26:23
merchants	InnoDB	1	16384	49152	8	2026-02-24 01:47:04	NULL
operation_logs	InnoDB	259	180224	180224	308	2026-07-11 07:57:15	2026-07-15 21:28:01
preset_budget_debt	InnoDB	0	16384	65536	1	2026-02-06 02:38:02	NULL
preset_debt_limits	InnoDB	1	16384	32768	2	2026-02-06 02:36:39	NULL
preset_inventory_debt	InnoDB	0	16384	65536	1	2026-06-05 01:56:03	NULL
prize_definitions	InnoDB	12	16384	131072	13	2026-06-24 07:44:37	NULL
product_batches	InnoDB	0	16384	65536	15	2026-07-06 00:46:48	2026-07-15 21:25:25
product_bundle_items	InnoDB	0	16384	49152	40	2026-07-06 00:46:48	2026-07-15 21:25:25
product_bundles	InnoDB	0	16384	16384	52	2026-07-06 00:46:48	2026-07-15 21:25:25
product_series	InnoDB	0	16384	16384	2	2026-07-06 00:46:48	2026-07-06 03:12:11
purchase_order_items	InnoDB	0	16384	65536	16	2026-07-06 00:46:48	2026-07-15 21:25:25
purchase_orders	InnoDB	0	16384	32768	16	2026-07-06 00:46:48	2026-07-15 21:25:25
rarity_defs	InnoDB	5	16384	0	NULL	2026-01-15 06:13:46	2026-07-11 10:02:18
redemption_orders	InnoDB	35	16384	147456	2643	2026-06-21 20:20:07	2026-07-15 21:27:05
reminder_history	InnoDB	920	1589248	180224	6300	2026-02-01 04:54:14	2026-07-15 21:02:01
reminder_rules	InnoDB	5	16384	114688	6	2026-07-11 01:11:41	2026-07-15 21:14:00
report_templates	InnoDB	2	16384	114688	NULL	2026-02-01 03:15:41	NULL
reward_multiplier_campaigns	InnoDB	0	16384	32768	288	2026-07-06 00:39:23	2026-07-15 21:27:43
reward_multiplier_targets	InnoDB	0	16384	32768	76	2026-07-06 00:39:23	NULL
risk_alerts	InnoDB	0	16384	114688	130	2026-02-01 15:58:14	NULL
roles	InnoDB	12	16384	65536	262	2026-01-03 02:25:27	2026-07-11 10:02:12
segment_rule_configs	InnoDB	5	16384	16384	6	2026-02-22 17:23:48	NULL
sequelizemeta	InnoDB	4	16384	16384	NULL	2025-08-05 05:52:00	2026-07-15 20:53:55
shipping_tracks	InnoDB	0	16384	16384	1	2026-06-14 04:45:44	NULL
sku_attribute_values	InnoDB	0	16384	49152	1	2026-03-22 10:59:34	NULL
store_staff	InnoDB	4	16384	98304	13	2026-06-21 20:20:09	2026-07-11 10:00:50
stores	InnoDB	2	16384	147456	846	2026-02-24 01:47:04	2026-07-11 10:01:34
suppliers	InnoDB	0	16384	16384	18	2026-07-06 00:46:48	2026-07-15 21:25:25
system_dictionaries	InnoDB	322	65536	65536	490	2026-02-01 15:58:13	2026-07-15 20:53:55
system_dictionary_history	InnoDB	0	16384	49152	1	2026-02-01 15:59:17	NULL
system_settings	InnoDB	69	114688	81920	132	2026-03-21 06:13:05	2026-07-15 21:27:54
trade_disputes	InnoDB	1	16384	81920	123	2026-06-05 08:22:35	NULL
user_ad_tags	InnoDB	200	16384	32768	1586	2026-02-18 21:57:51	2026-07-15 03:00:01
user_addresses	InnoDB	2	16384	32768	65	2026-07-11 20:20:14	2026-07-15 21:27:03
user_behavior_tracks	InnoDB	0	16384	65536	NULL	2026-02-02 07:56:50	NULL
user_growth_levels	InnoDB	9	16384	32768	14	2026-07-10 20:20:24	2026-07-12 04:03:46
user_hierarchy	InnoDB	0	16384	98304	28	2026-02-01 15:58:14	2026-07-11 10:03:43
user_notifications	InnoDB	946	360448	147456	13078	2026-02-25 05:47:43	2026-07-15 21:27:35
user_owned_decorations	InnoDB	0	16384	32768	1	2026-06-08 01:16:56	NULL
user_premium_status	InnoDB	2	16384	49152	5	2026-02-01 15:58:14	2026-07-15 21:27:54
user_ratio_overrides	InnoDB	0	16384	65536	3	2026-03-03 02:50:44	NULL
user_risk_profiles	InnoDB	0	16384	81920	9	2026-02-16 06:00:43	NULL
user_roles	InnoDB	23	16384	65536	1030	2025-10-10 08:09:34	2026-07-15 21:27:20
users	InnoDB	22	16384	147456	12883	2026-07-11 08:23:34	2026-07-15 21:28:01
websocket_startup_logs	InnoDB	128	16384	65536	4077	2026-02-01 15:58:13	2026-07-15 21:11:06
