TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX	INDEX_TYPE
authentication_sessions	PRIMARY	authentication_session_id	0	1	BTREE
authentication_sessions	session_token	session_token	0	1	BTREE
authentication_sessions	user_sessions_last_activity	last_activity	1	1	BTREE
batch_operation_logs	idempotency_key	idempotency_key	0	1	BTREE
batch_operation_logs	idx_batch_ops_created_at	created_at	1	1	BTREE
batch_operation_logs	idx_batch_ops_idempotency_key	idempotency_key	0	1	BTREE
batch_operation_logs	idx_batch_ops_operator_created	operator_id	1	1	BTREE
batch_operation_logs	idx_batch_ops_operator_created	created_at	1	2	BTREE
batch_operation_logs	idx_batch_ops_status	status	1	1	BTREE
batch_operation_logs	idx_batch_ops_type_status	operation_type	1	1	BTREE
batch_operation_logs	idx_batch_ops_type_status	status	1	2	BTREE
batch_operation_logs	PRIMARY	batch_operation_log_id	0	1	BTREE
bid_products	created_by	created_by	1	1	BTREE
bid_products	idx_bid_products_exchange_item	exchange_item_id	1	1	BTREE
bid_products	idx_bid_products_item_batch	exchange_item_id	1	1	BTREE
bid_products	idx_bid_products_item_batch	batch_no	1	2	BTREE
bid_products	idx_bid_products_item_status	exchange_item_id	1	1	BTREE
bid_products	idx_bid_products_item_status	status	1	2	BTREE
bid_products	idx_bid_products_status_end	status	1	1	BTREE
bid_products	idx_bid_products_status_end	end_time	1	2	BTREE
bid_products	idx_bid_products_status_start	status	1	1	BTREE
bid_products	idx_bid_products_status_start	start_time	1	2	BTREE
bid_products	PRIMARY	bid_product_id	0	1	BTREE
bid_products	winner_user_id	winner_user_id	1	1	BTREE
bid_records	idempotency_key	idempotency_key	0	1	BTREE
bid_records	idx_bid_records_product_amount	bid_product_id	1	1	BTREE
bid_records	idx_bid_records_product_amount	bid_amount	1	2	BTREE
bid_records	idx_bid_records_user_bid	user_id	1	1	BTREE
bid_records	idx_bid_records_user_bid	bid_product_id	1	2	BTREE
bid_records	PRIMARY	bid_record_id	0	1	BTREE
categories	category_code	category_code	0	1	BTREE
