TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE
lottery_hourly_metrics	PRIMARY	PRIMARY KEY
lottery_hourly_metrics	uk_campaign_hour	UNIQUE
lottery_management_settings	lottery_management_settings_ibfk_1	FOREIGN KEY
lottery_management_settings	lottery_management_settings_ibfk_2	FOREIGN KEY
lottery_management_settings	lottery_management_settings_lottery_campaign_id_foreign_idx	FOREIGN KEY
lottery_management_settings	PRIMARY	PRIMARY KEY
lottery_presets	fk_lottery_presets_created_by	FOREIGN KEY
lottery_presets	fk_lottery_presets_prize_id	FOREIGN KEY
lottery_presets	fk_lottery_presets_user_id	FOREIGN KEY
lottery_presets	PRIMARY	PRIMARY KEY
lottery_prizes	fk_lottery_prizes_campaign	FOREIGN KEY
lottery_prizes	fk_lottery_prizes_rarity_code	FOREIGN KEY
lottery_prizes	lottery_prizes_merchant_id_foreign_idx	FOREIGN KEY
lottery_prizes	lottery_prizes_primary_media_id_foreign_idx	FOREIGN KEY
lottery_prizes	PRIMARY	PRIMARY KEY
lottery_prizes	idx_unique_campaign_sort_order	UNIQUE
lottery_simulation_records	lottery_simulation_records_ibfk_1	FOREIGN KEY
lottery_simulation_records	lottery_simulation_records_ibfk_2	FOREIGN KEY
lottery_simulation_records	lottery_simulation_records_ibfk_3	FOREIGN KEY
lottery_simulation_records	PRIMARY	PRIMARY KEY
lottery_strategy_config	fk_strategy_config_campaign	FOREIGN KEY
lottery_strategy_config	PRIMARY	PRIMARY KEY
lottery_strategy_config	uk_strategy_campaign_group_key_priority	UNIQUE
lottery_tier_matrix_config	fk_matrix_config_campaign	FOREIGN KEY
lottery_tier_matrix_config	PRIMARY	PRIMARY KEY
lottery_tier_matrix_config	uk_matrix_campaign_budget_pressure	UNIQUE
lottery_tier_rules	fk_tier_rules_campaign_id	FOREIGN KEY
lottery_tier_rules	PRIMARY	PRIMARY KEY
lottery_tier_rules	uk_campaign_segment_tier	UNIQUE
lottery_user_daily_draw_quota	PRIMARY	PRIMARY KEY
lottery_user_daily_draw_quota	idx_user_campaign_date_unique	UNIQUE
lottery_user_experience_state	fk_experience_state_campaign_id	FOREIGN KEY
lottery_user_experience_state	fk_experience_state_user_id	FOREIGN KEY
lottery_user_experience_state	PRIMARY	PRIMARY KEY
lottery_user_experience_state	uk_user_campaign_experience	UNIQUE
lottery_user_global_state	fk_global_state_user_id	FOREIGN KEY
lottery_user_global_state	PRIMARY	PRIMARY KEY
lottery_user_global_state	user_id	UNIQUE
market_listings	fk_market_listings_offer_category	FOREIGN KEY
market_listings	fk_market_listings_offer_item_id	FOREIGN KEY
market_listings	market_listings_ibfk_1	FOREIGN KEY
market_listings	market_listings_offer_asset_group_code_foreign_idx	FOREIGN KEY
market_listings	market_listings_offer_item_rarity_foreign_idx	FOREIGN KEY
market_listings	market_listings_offer_item_template_id_foreign_idx	FOREIGN KEY
market_listings	PRIMARY	PRIMARY KEY
market_listings	uk_market_listings_idempotency_key	UNIQUE
market_listings	uk_market_listings_seller_idempotency	UNIQUE
market_price_snapshots	PRIMARY	PRIMARY KEY
market_price_snapshots	uk_snapshot_date_asset_kind_currency	UNIQUE
material_asset_types	fk_material_asset_types_group_code	FOREIGN KEY
material_asset_types	fk_mat_group_code	FOREIGN KEY
material_asset_types	material_asset_types_merchant_id_foreign_idx	FOREIGN KEY
material_asset_types	PRIMARY	PRIMARY KEY
material_asset_types	asset_code	UNIQUE
material_asset_types	uk_material_asset_types_asset_code	UNIQUE
material_conversion_rules	PRIMARY	PRIMARY KEY
media_attachments	media_attachments_ibfk_1	FOREIGN KEY
media_attachments	PRIMARY	PRIMARY KEY
media_files	PRIMARY	PRIMARY KEY
media_files	uk_object_key	UNIQUE
merchant_operation_logs	fk_merchant_logs_consumption_record	FOREIGN KEY
merchant_operation_logs	merchant_operation_logs_ibfk_1	FOREIGN KEY
merchant_operation_logs	merchant_operation_logs_ibfk_2	FOREIGN KEY
merchant_operation_logs	merchant_operation_logs_ibfk_3	FOREIGN KEY
merchant_operation_logs	merchant_operation_logs_ibfk_5	FOREIGN KEY
merchant_operation_logs	PRIMARY	PRIMARY KEY
merchants	merchants_ibfk_1	FOREIGN KEY
merchants	PRIMARY	PRIMARY KEY
preset_budget_debt	fk_budget_debt_preset	FOREIGN KEY
preset_budget_debt	fk_budget_debt_user_id	FOREIGN KEY
preset_budget_debt	PRIMARY	PRIMARY KEY
preset_debt_limits	PRIMARY	PRIMARY KEY
preset_debt_limits	uk_debt_limits_level_ref	UNIQUE
preset_inventory_debt	fk_inv_debt_preset	FOREIGN KEY
preset_inventory_debt	fk_inv_debt_prize_id	FOREIGN KEY
preset_inventory_debt	fk_inv_debt_user_id	FOREIGN KEY
preset_inventory_debt	PRIMARY	PRIMARY KEY
rarity_defs	PRIMARY	PRIMARY KEY
redemption_orders	fk_redemption_orders_item_id	FOREIGN KEY
redemption_orders	redemption_orders_fulfilled_by_staff_id_foreign_idx	FOREIGN KEY
redemption_orders	redemption_orders_fulfilled_store_id_foreign_idx	FOREIGN KEY
redemption_orders	redemption_orders_ibfk_2	FOREIGN KEY
redemption_orders	PRIMARY	PRIMARY KEY
redemption_orders	code_hash	UNIQUE
redemption_orders	redemption_seq	UNIQUE
redemption_orders	uk_redemption_orders_order_no	UNIQUE
reminder_history	fk_reminder_history_rule	FOREIGN KEY
reminder_history	reminder_history_ibfk_2	FOREIGN KEY
reminder_history	PRIMARY	PRIMARY KEY
reminder_rules	reminder_rules_ibfk_1	FOREIGN KEY
reminder_rules	reminder_rules_ibfk_2	FOREIGN KEY
reminder_rules	PRIMARY	PRIMARY KEY
reminder_rules	idx_reminder_rules_code	UNIQUE
reminder_rules	rule_code	UNIQUE
report_templates	report_templates_ibfk_1	FOREIGN KEY
report_templates	report_templates_ibfk_2	FOREIGN KEY
report_templates	PRIMARY	PRIMARY KEY
report_templates	idx_report_templates_code	UNIQUE
report_templates	template_code	UNIQUE
risk_alerts	risk_alerts_ibfk_1	FOREIGN KEY
risk_alerts	risk_alerts_ibfk_2	FOREIGN KEY
risk_alerts	risk_alerts_ibfk_3	FOREIGN KEY
risk_alerts	risk_alerts_ibfk_4	FOREIGN KEY
risk_alerts	PRIMARY	PRIMARY KEY
roles	PRIMARY	PRIMARY KEY
roles	role_name	UNIQUE
roles	role_uuid	UNIQUE
segment_rule_configs	PRIMARY	PRIMARY KEY
segment_rule_configs	version_key	UNIQUE
sequelizemeta	PRIMARY	PRIMARY KEY
sequelizemeta	name	UNIQUE
sku_attribute_values	sku_attribute_values_ibfk_1	FOREIGN KEY
sku_attribute_values	sku_attribute_values_ibfk_2	FOREIGN KEY
sku_attribute_values	sku_attribute_values_ibfk_3	FOREIGN KEY
sku_attribute_values	PRIMARY	PRIMARY KEY
sku_attribute_values	uk_sku_attribute	UNIQUE
store_staff	store_staff_ibfk_1	FOREIGN KEY
store_staff	store_staff_ibfk_2	FOREIGN KEY
store_staff	store_staff_ibfk_3	FOREIGN KEY
store_staff	PRIMARY	PRIMARY KEY
store_staff	uk_store_staff_user_store_seq	UNIQUE
stores	fk_store_assigned_to	FOREIGN KEY
stores	stores_ibfk_1	FOREIGN KEY
stores	PRIMARY	PRIMARY KEY
stores	store_code	UNIQUE
stores	uk_store_code	UNIQUE
system_dictionaries	PRIMARY	PRIMARY KEY
system_dictionaries	uk_type_code	UNIQUE
system_dictionary_history	fk_dict_history_dict	FOREIGN KEY
system_dictionary_history	PRIMARY	PRIMARY KEY
system_settings	PRIMARY	PRIMARY KEY
system_settings	idx_setting_key	UNIQUE
system_settings	setting_key	UNIQUE
trade_orders	fk_trade_orders_listing	FOREIGN KEY
trade_orders	trade_orders_ibfk_2	FOREIGN KEY
trade_orders	trade_orders_ibfk_3	FOREIGN KEY
trade_orders	PRIMARY	PRIMARY KEY
trade_orders	uk_trade_orders_business_id	UNIQUE
trade_orders	uk_trade_orders_idempotency_key	UNIQUE
trade_orders	uk_trade_orders_order_no	UNIQUE
user_ad_tags	user_ad_tags_ibfk_1	FOREIGN KEY
user_ad_tags	PRIMARY	PRIMARY KEY
user_ad_tags	uk_uat_user_tag	UNIQUE
user_behavior_tracks	user_behavior_tracks_ibfk_1	FOREIGN KEY
user_behavior_tracks	PRIMARY	PRIMARY KEY
user_hierarchy	fk_user_hierarchy_deactivator	FOREIGN KEY
user_hierarchy	fk_user_hierarchy_role	FOREIGN KEY
user_hierarchy	fk_user_hierarchy_store	FOREIGN KEY
user_hierarchy	fk_user_hierarchy_superior	FOREIGN KEY
user_hierarchy	fk_user_hierarchy_user	FOREIGN KEY
user_hierarchy	PRIMARY	PRIMARY KEY
user_hierarchy	uk_user_role	UNIQUE
user_notifications	PRIMARY	PRIMARY KEY
user_premium_status	fk_ups_user_id	FOREIGN KEY
user_premium_status	PRIMARY	PRIMARY KEY
user_premium_status	idx_user_id	UNIQUE
user_ratio_overrides	user_ratio_overrides_ibfk_1	FOREIGN KEY
user_ratio_overrides	user_ratio_overrides_ibfk_2	FOREIGN KEY
user_ratio_overrides	PRIMARY	PRIMARY KEY
user_ratio_overrides	uk_user_ratio	UNIQUE
user_risk_profiles	user_risk_profiles_ibfk_1	FOREIGN KEY
user_risk_profiles	user_risk_profiles_ibfk_2	FOREIGN KEY
user_risk_profiles	PRIMARY	PRIMARY KEY
user_risk_profiles	uk_user_risk_profiles_user_config	UNIQUE
user_roles	fk_user_roles_role_id	FOREIGN KEY
user_roles	fk_user_roles_user_id	FOREIGN KEY
user_roles	PRIMARY	PRIMARY KEY
user_roles	user_role_unique	UNIQUE
users	PRIMARY	PRIMARY KEY
users	idx_users_user_uuid_unique	UNIQUE
users	mobile	UNIQUE
websocket_startup_logs	PRIMARY	PRIMARY KEY
