CONSTRAINT_NAME	TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
fk_user_hierarchy_deactivator	user_hierarchy	deactivated_by	users	user_id
fk_user_hierarchy_role	user_hierarchy	role_id	roles	role_id
fk_user_hierarchy_store	user_hierarchy	store_id	stores	store_id
fk_user_hierarchy_superior	user_hierarchy	superior_user_id	users	user_id
fk_user_hierarchy_user	user_hierarchy	user_id	users	user_id
fk_ups_user_id	user_premium_status	user_id	users	user_id
user_ratio_overrides_ibfk_1	user_ratio_overrides	user_id	users	user_id
user_ratio_overrides_ibfk_2	user_ratio_overrides	created_by	users	user_id
user_risk_profiles_ibfk_1	user_risk_profiles	user_id	users	user_id
user_risk_profiles_ibfk_2	user_risk_profiles	frozen_by	users	user_id
fk_user_roles_role_id	user_roles	role_id	roles	role_id
fk_user_roles_user_id	user_roles	user_id	users	user_id
